,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FC Astana,40,24.4,16,€838k,€33.50m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2018/plus/1
1,Tobol Kostanay,40,25.1,12,€383k,€15.30m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2018/plus/1
2,Ordabasy Shymkent,28,24.6,7,€425k,€11.90m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2018/plus/1
3,Okzhetpes Kokshetau,31,25.8,9,€273k,€8.45m,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2018/plus/1
4,Kaysar Kyzylorda,28,25.9,12,€264k,€7.40m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2018/plus/1
5,FK Taraz,31,23.8,8,€208k,€6.45m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2018/plus/1
6,Kairat Almaty,42,23.0,14,€468k,€19.65m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2018/plus/1
7,Irtysh Pavlodar,50,24.5,18,€299k,€14.95m,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2018/plus/1
8,FK Atyrau,42,24.6,16,€243k,€10.20m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2018/plus/1
9,Shakhter Karaganda,32,23.9,9,€248k,€7.95m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2018/plus/1
10,Zhetysu Taldykorgan,31,26.3,11,€231k,€7.15m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2018/plus/1
11,FK Aktobe,29,22.7,6,€152k,€4.40m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2018/plus/1
